metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
return_std_1m_5m,20,Q20,0.0005372844,0.0005707881,0.53,269,0.966543
return_std_1m_5m,20,Q20,0.0005372844,0.0005707881,0.54,269,0.944238
return_std_1m_5m,20,Q20,0.0005372844,0.0005707881,0.55,269,0.910781
return_std_1m_5m,20,Q20,0.0005372844,0.0005707881,0.56,269,0.903346
return_std_1m_5m,20,Q20,0.0005372844,0.0005707881,0.57,269,0.884758
return_std_1m_5m,20,Q20,0.0005372844,0.0005707881,0.58,269,0.877323
return_std_1m_5m,21,Q21,0.0005708320,0.0006130397,0.52,269,0.947955
return_std_1m_5m,21,Q21,0.0005708320,0.0006130397,0.53,269,0.940520
return_std_1m_5m,21,Q21,0.0005708320,0.0006130397,0.54,269,0.925651
return_std_1m_5m,21,Q21,0.0005708320,0.0006130397,0.55,269,0.914498
return_std_1m_5m,21,Q21,0.0005708320,0.0006130397,0.56,269,0.892193
return_std_1m_5m,21,Q21,0.0005708320,0.0006130397,0.57,269,0.873606
return_std_1m_5m,21,Q21,0.0005708320,0.0006130397,0.58,269,0.858736
return_std_1m_5m,22,Q22,0.0006130945,0.0006547825,0.52,268,0.955224
return_std_1m_5m,22,Q22,0.0006130945,0.0006547825,0.53,268,0.940299
return_std_1m_5m,22,Q22,0.0006130945,0.0006547825,0.54,268,0.902985
return_std_1m_5m,22,Q22,0.0006130945,0.0006547825,0.55,268,0.873134
return_std_1m_5m,22,Q22,0.0006130945,0.0006547825,0.56,268,0.858209
return_std_1m_5m,22,Q22,0.0006130945,0.0006547825,0.57,268,0.835821
return_std_1m_5m,22,Q22,0.0006130945,0.0006547825,0.58,268,0.832090
return_std_1m_5m,23,Q23,0.0006549232,0.0007018493,0.52,269,0.966543
return_std_1m_5m,23,Q23,0.0006549232,0.0007018493,0.53,269,0.951673
return_std_1m_5m,23,Q23,0.0006549232,0.0007018493,0.54,269,0.921933
return_std_1m_5m,23,Q23,0.0006549232,0.0007018493,0.55,269,0.910781
return_std_1m_5m,23,Q23,0.0006549232,0.0007018493,0.56,269,0.892193
return_std_1m_5m,23,Q23,0.0006549232,0.0007018493,0.57,269,0.881041
return_std_1m_5m,23,Q23,0.0006549232,0.0007018493,0.58,269,0.866171
return_std_1m_5m,24,Q24,0.0007019895,0.0007538319,0.52,269,0.947955
return_std_1m_5m,24,Q24,0.0007019895,0.0007538319,0.53,269,0.936803
return_std_1m_5m,24,Q24,0.0007019895,0.0007538319,0.54,269,0.914498
return_std_1m_5m,24,Q24,0.0007019895,0.0007538319,0.55,269,0.895911
return_std_1m_5m,24,Q24,0.0007019895,0.0007538319,0.56,269,0.881041
return_std_1m_5m,24,Q24,0.0007019895,0.0007538319,0.57,269,0.866171
return_std_1m_5m,24,Q24,0.0007019895,0.0007538319,0.58,269,0.858736
return_std_1m_5m,25,Q25,0.0007539551,0.0008190705,0.52,268,0.947761
return_std_1m_5m,25,Q25,0.0007539551,0.0008190705,0.53,268,0.936567
return_std_1m_5m,25,Q25,0.0007539551,0.0008190705,0.54,268,0.910448
return_std_1m_5m,25,Q25,0.0007539551,0.0008190705,0.55,268,0.895522
return_std_1m_5m,25,Q25,0.0007539551,0.0008190705,0.56,268,0.884328
return_std_1m_5m,25,Q25,0.0007539551,0.0008190705,0.57,268,0.876866
return_std_1m_5m,25,Q25,0.0007539551,0.0008190705,0.58,268,0.858209
return_std_1m_5m,26,Q26,0.0008191499,0.0008924046,0.52,269,0.933086
return_std_1m_5m,26,Q26,0.0008191499,0.0008924046,0.53,269,0.914498
return_std_1m_5m,26,Q26,0.0008191499,0.0008924046,0.54,269,0.892193
return_std_1m_5m,26,Q26,0.0008191499,0.0008924046,0.55,269,0.881041
return_std_1m_5m,26,Q26,0.0008191499,0.0008924046,0.56,269,0.862454
return_std_1m_5m,26,Q26,0.0008191499,0.0008924046,0.57,269,0.847584
return_std_1m_5m,26,Q26,0.0008191499,0.0008924046,0.58,269,0.840149
return_std_1m_5m,27,Q27,0.0008929254,0.0010154773,0.52,269,0.944238
return_std_1m_5m,27,Q27,0.0008929254,0.0010154773,0.53,269,0.925651
return_std_1m_5m,27,Q27,0.0008929254,0.0010154773,0.54,269,0.907063
return_std_1m_5m,27,Q27,0.0008929254,0.0010154773,0.55,269,0.892193
return_std_1m_5m,27,Q27,0.0008929254,0.0010154773,0.56,269,0.855019
return_std_1m_5m,27,Q27,0.0008929254,0.0010154773,0.57,269,0.847584
return_std_1m_5m,27,Q27,0.0008929254,0.0010154773,0.58,269,0.832714
return_std_1m_5m,28,Q28,0.0010166147,0.0011797767,0.52,268,0.929104
return_std_1m_5m,28,Q28,0.0010166147,0.0011797767,0.53,268,0.910448
return_std_1m_5m,28,Q28,0.0010166147,0.0011797767,0.54,268,0.891791
return_std_1m_5m,28,Q28,0.0010166147,0.0011797767,0.55,268,0.873134
return_std_1m_5m,28,Q28,0.0010166147,0.0011797767,0.56,268,0.858209
return_std_1m_5m,28,Q28,0.0010166147,0.0011797767,0.57,268,0.847015
return_std_1m_5m,28,Q28,0.0010166147,0.0011797767,0.58,268,0.843284
return_std_1m_5m,29,Q29,0.0011823376,0.0014646350,0.52,269,0.936803
return_std_1m_5m,29,Q29,0.0011823376,0.0014646350,0.53,269,0.918216
return_std_1m_5m,29,Q29,0.0011823376,0.0014646350,0.54,269,0.895911
return_std_1m_5m,29,Q29,0.0011823376,0.0014646350,0.55,269,0.877323
return_std_1m_5m,29,Q29,0.0011823376,0.0014646350,0.56,269,0.858736
return_std_1m_5m,29,Q29,0.0011823376,0.0014646350,0.57,269,0.847584
return_std_1m_5m,29,Q29,0.0011823376,0.0014646350,0.58,269,0.828996
return_std_1m_5m,30,Q30,0.0014665002,0.0068764037,0.52,269,0.925651
return_std_1m_5m,30,Q30,0.0014665002,0.0068764037,0.53,269,0.895911
return_std_1m_5m,30,Q30,0.0014665002,0.0068764037,0.54,269,0.877323
return_std_1m_5m,30,Q30,0.0014665002,0.0068764037,0.55,269,0.877323
return_std_1m_5m,30,Q30,0.0014665002,0.0068764037,0.56,269,0.840149
return_std_1m_5m,30,Q30,0.0014665002,0.0068764037,0.57,269,0.828996
return_std_1m_5m,30,Q30,0.0014665002,0.0068764037,0.58,269,0.817844
