metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.52,269,0.959108
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.53,269,0.955390
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.54,269,0.940520
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.55,269,0.914498
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.56,269,0.903346
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.57,269,0.895911
range_pct_5m,11,Q11,0.0013634361,0.0014504134,0.58,269,0.877323
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.52,269,0.959108
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.53,269,0.940520
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.54,269,0.936803
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.55,269,0.914498
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.56,269,0.903346
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.57,269,0.892193
range_pct_5m,12,Q12,0.0014508072,0.0015390002,0.58,269,0.881041
range_pct_5m,13,Q13,0.0015392152,0.0016244308,0.52,268,0.951493
range_pct_5m,13,Q13,0.0015392152,0.0016244308,0.53,268,0.944030
range_pct_5m,13,Q13,0.0015392152,0.0016244308,0.54,268,0.921642
range_pct_5m,13,Q13,0.0015392152,0.0016244308,0.55,268,0.895522
range_pct_5m,13,Q13,0.0015392152,0.0016244308,0.56,268,0.880597
range_pct_5m,13,Q13,0.0015392152,0.0016244308,0.57,268,0.850746
range_pct_5m,13,Q13,0.0015392152,0.0016244308,0.58,268,0.847015
range_pct_5m,14,Q14,0.0016244615,0.0017230072,0.52,269,0.947955
range_pct_5m,14,Q14,0.0016244615,0.0017230072,0.53,269,0.929368
range_pct_5m,14,Q14,0.0016244615,0.0017230072,0.54,269,0.899628
range_pct_5m,14,Q14,0.0016244615,0.0017230072,0.55,269,0.895911
range_pct_5m,14,Q14,0.0016244615,0.0017230072,0.56,269,0.881041
range_pct_5m,14,Q14,0.0016244615,0.0017230072,0.57,269,0.862454
range_pct_5m,14,Q14,0.0016244615,0.0017230072,0.58,269,0.855019
range_pct_5m,15,Q15,0.0017233500,0.0018115177,0.52,269,0.962825
range_pct_5m,15,Q15,0.0017233500,0.0018115177,0.53,269,0.947955
range_pct_5m,15,Q15,0.0017233500,0.0018115177,0.54,269,0.929368
range_pct_5m,15,Q15,0.0017233500,0.0018115177,0.55,269,0.910781
range_pct_5m,15,Q15,0.0017233500,0.0018115177,0.56,269,0.892193
range_pct_5m,15,Q15,0.0017233500,0.0018115177,0.57,269,0.881041
range_pct_5m,15,Q15,0.0017233500,0.0018115177,0.58,269,0.873606
range_pct_5m,16,Q16,0.0018120998,0.0018974572,0.52,268,0.973881
range_pct_5m,16,Q16,0.0018120998,0.0018974572,0.53,268,0.970149
