metric,count,min,p10,p25,median,p75,p90,max,mean,stdev
range_pct_5m,8060,0.0000001470,0.0007782463,0.0011716298,0.0018118087,0.0027794267,0.0040956363,0.0237834542,0.0022175183,0.0016170673
return_std_1m_5m,8060,0.0000000635,0.0001698430,0.0002667818,0.0004274654,0.0006789111,0.0010155910,0.0068764037,0.0005327216,0.0004093737
